Epoch,lr,loss, train accuracy, val accuracy
# with mean/255 without sigmoid
0,0.009967,0.692107
5,0.009802,0.578204
10,0.009636,0.506056
15,0.009471,0.469804
20,0.009304,0.420488
25,0.009138,0.38253
30,0.008971,0.373636
35,0.008804,0.344824
40,0.008636,0.314813
45,0.008468,0.32448
50,0.0083,0.293785
55,0.008132,0.286738
##
0,0.009967,0.693333
5,0.009802,0.597028
10,0.009636,0.517808
15,0.009471,0.484714
20,0.009304,0.429816
25,0.009138,0.396033
30,0.008971,0.383379
35,0.008804,0.352146
40,0.008636,0.322687

##

0,0.009934,0.723703
5,0.009603,0.617882
10,0.009271,0.547241
15,0.008938,0.505054
20,0.008603,0.460911
25,0.008267,0.403759
30,0.007929,0.365711
35,0.007589,0.347703
40,0.007248,0.330695
45,0.006905,0.323336
50,0.00656,0.310636
55,0.006213,0.294666
60,0.005864,0.302012
65,0.005513,0.278001
70,0.005159,0.249358
75,0.004803,0.24356
80,0.004443,0.243555
85,0.00408,0.23313
90,0.003714,0.234355
95,0.003343,0.219932
100,0.002968,0.192456
105,0.002588,0.202492
110,0.002201,0.18851
115,0.001806,0.185333
120,0.001402,0.15875
125,0.000984,0.151624
130,0.000544,0.140865
135,4.9e-05,0.135164

##with Unet model
0,0.009934,0.460218
5,0.009603,0.428996
10,0.009271,0.404132
15,0.008938,0.366981
20,0.008603,0.33542
25,0.008267,0.325681
30,0.007929,0.302333
35,0.007589,0.287321
40,0.007248,0.268757
45,0.006905,0.260415
50,0.00656,0.276543
55,0.006213,0.263152
60,0.005864,0.242365
65,0.005513,0.23557
70,0.005159,0.240187
75,0.004803,0.211712
80,0.004443,0.216683
85,0.00408,0.198429
90,0.003714,0.204275
95,0.003343,0.175904
100,0.002968,0.186055
105,0.002588,0.171575
110,0.002201,0.176204
115,0.001806,0.171869
0,0.009934,0.713661
0,0.009934,0.76126
5,0.009603,0.751718
10,0.009271,0.640621
15,0.008938,0.547849
20,0.008603,0.472036
25,0.008267,0.421074
30,0.007929,0.391727
35,0.007589,0.38337
40,0.007248,0.3474
45,0.006905,0.327107
50,0.00656,0.317951
55,0.006213,0.28406
60,0.005864,0.296117
65,0.005513,0.263149
70,0.005159,0.243713
75,0.004803,0.247642
80,0.004443,0.235802
85,0.00408,0.234638
90,0.003714,0.21152
95,0.003343,0.203663
100,0.002968,0.202049
105,0.002588,0.190757
110,0.002201,0.183893
115,0.001806,0.183087
120,0.001402,0.155149
125,0.000984,0.147768
130,0.000544,0.133096
135,4.9e-05,0.132813

#data_aug
0,0.009934,0.668162
5,0.009603,0.495556
10,0.009271,0.400831
15,0.008938,0.358811
20,0.008603,0.323327
25,0.008267,0.309747
30,0.007929,0.294643
35,0.007589,0.271555
40,0.007248,0.249043
45,0.006905,0.251145
50,0.00656,0.232006
55,0.006213,0.219296
60,0.005864,0.212395
65,0.005513,0.21084
70,0.005159,0.203564
75,0.004803,0.199796
80,0.002125,0.223469
85,0.001951,0.196265
90,0.001775,0.186567
95,0.001597,0.169369
100,0.001416,0.161678
0,0.01,1.02597
0,0.01,0.969594
0,0.01,0.970369

###dsn march 1 concat
0,0.009934,0.638562
5,0.009603,0.293629
10,0.009271,0.218936
15,0.008938,0.185889
20,0.008603,0.156717
25,0.008267,0.149582
30,0.007929,0.124519
35,0.007589,0.133961
40,0.007248,0.118685
45,0.006905,0.092588
50,0.00656,0.108538
55,0.006213,0.101606
60,0.005864,0.102208
65,0.005513,0.079462
70,0.005159,0.074489
75,0.004803,0.075478
80,0.004443,0.068592
85,0.00408,0.058174
90,0.003714,0.053076
95,0.003343,0.054918
100,0.002968,0.058719
105,0.002588,0.041243
110,0.002201,0.058817
115,0.001806,0.045501
120,0.001402,0.039575
125,0.000984,0.038482
130,0.000544,0.035372
135,4.9e-05,0.031921




0,0.009934,0.406631,0.691341
5,0.009603,0.219443,0.65302
10,0.009271,0.200356,0.746348
15,0.008938,0.200146,0.795331
20,0.008603,0.185976,0.788195
25,0.008267,0.17279,0.797303
30,0.007929,0.164347,0.811478
35,0.007589,0.168512,0.82576
40,0.007248,0.154789,0.766452
45,0.006905,0.154856,0.822257
50,0.00656,0.159935,0.781517
55,0.006213,0.149734,0.821995
60,0.005864,0.158167,0.775665
65,0.005513,0.126506,0.817921
70,0.005159,0.118471,0.838591
75,0.004803,0.107377,0.79848
80,0.004443,0.112358,0.778644
